id,bill_id,related_bill_id,identifier,legislative_session,relation_type
c69daf71-b9ce-4039-81db-a0b865131f05,ocd-bill/1e2406f1-d4f3-4fcd-a1e2-f9decd21af18,ocd-bill/2f1cb5f7-79e9-4af0-bf55-21fc9ec2c978,S 101,119,companion
246abe25-b5a3-4ca4-99ce-4256ee9f17d5,ocd-bill/4c485a4a-c9ec-44c4-bedf-447d7e036df5,ocd-bill/225877c3-421a-499c-9814-69ae56c3754c,HR 548,119,companion
69b6a88b-ad2e-4aec-b248-4eae344da62d,ocd-bill/225877c3-421a-499c-9814-69ae56c3754c,ocd-bill/4c485a4a-c9ec-44c4-bedf-447d7e036df5,HR 444,119,companion
c250b1f2-1b44-45b2-949f-b0d82fb77818,ocd-bill/2f1cb5f7-79e9-4af0-bf55-21fc9ec2c978,ocd-bill/1e2406f1-d4f3-4fcd-a1e2-f9decd21af18,HR 466,119,companion
04e0e93d-f7b3-4ec3-89d2-d42d60e47516,ocd-bill/02b24e46-5354-48ae-b20c-5c3ab68b4eea,ocd-bill/36f51992-aac8-4322-85af-0acfee384f05,SJRES 19,119,companion
5affaf9f-c8b3-4c16-99f0-51f4405ce513,ocd-bill/02b24e46-5354-48ae-b20c-5c3ab68b4eea,ocd-bill/edf9ff1f-c8b4-4754-8960-fb09986ebb56,HJRES 27,119,companion
1cca9428-42f9-4d5f-ae3e-cbafe71686b3,ocd-bill/edf9ff1f-c8b4-4754-8960-fb09986ebb56,ocd-bill/36f51992-aac8-4322-85af-0acfee384f05,SJRES 19,119,companion
dca3eda3-d222-4c56-aa23-112792723ec4,ocd-bill/edf9ff1f-c8b4-4754-8960-fb09986ebb56,ocd-bill/02b24e46-5354-48ae-b20c-5c3ab68b4eea,HJRES 34,119,companion
ce4558b0-4665-483d-8776-90b9a426d456,ocd-bill/d6c80f05-9475-482d-91c1-6467d8dd0d7f,ocd-bill/d14e801e-90b4-4459-96ba-abcc08cd8b54,SJRES 18,119,companion
8f5b499b-5b41-4aba-a22e-aeed69bf2680,ocd-bill/bf8ba42d-25e2-4f17-8a43-efd0018a4138,ocd-bill/2c089ed7-8815-4d47-b432-e93c7c9eb1df,HRES 5,119,companion
6a40571b-cc05-4445-8569-01e34c14c3b0,ocd-bill/4f5998f7-48fa-4d3e-8419-cd024bbe9a35,ocd-bill/2c089ed7-8815-4d47-b432-e93c7c9eb1df,HRES 5,119,companion
73c59c48-6789-437c-b86a-a4cf320c51de,ocd-bill/357b90e8-6cf4-41ad-9190-b124ca91172c,ocd-bill/d57c26ee-8d33-4ebb-8d5b-b6b3383181a6,HRES 61,119,companion
ced1da54-aeb8-4a5e-b56b-c5ea4f93d0cc,ocd-bill/51068856-51ba-4671-b32d-9441507c018a,ocd-bill/39cca68c-ff9a-4194-b027-9c8103eb0e52,HJRES 2,119,companion
b4558e46-45ee-450c-8ea6-bb4e73d269ce,ocd-bill/51068856-51ba-4671-b32d-9441507c018a,ocd-bill/d94686d7-e585-45cd-9800-051012e29597,HJRES 10,119,companion
48d4c3a5-2fc3-422e-90ea-f9101fece214,ocd-bill/51068856-51ba-4671-b32d-9441507c018a,ocd-bill/be7beae1-0027-492d-942a-e1ddf29e61aa,HJRES 17,119,companion
df28371d-2ee5-448b-9585-36c3c8feb7e5,ocd-bill/39cca68c-ff9a-4194-b027-9c8103eb0e52,ocd-bill/d94686d7-e585-45cd-9800-051012e29597,HJRES 10,119,companion
566bb134-3005-4960-b1de-3d127f796d1a,ocd-bill/39cca68c-ff9a-4194-b027-9c8103eb0e52,ocd-bill/51068856-51ba-4671-b32d-9441507c018a,HJRES 11,119,companion
e261ebfd-e1e7-4f24-9ab4-ac31aa3bd75f,ocd-bill/d94686d7-e585-45cd-9800-051012e29597,ocd-bill/39cca68c-ff9a-4194-b027-9c8103eb0e52,HJRES 2,119,companion
